ID,Sex,Status,Children,Est_Income,Car_Owner,Usage,Age,RatePlan,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,CHURN
94,1,0,0,25285.5,0,21.3,53.986667,1,9.37,0,11.93,0,1,0,0,Cancelled
95,1,1,2,77551.1,1,62.42,33.6,2,20.53,0,41.89,1,1,1,1,Current
96,1,1,0,38538.4,0,47.66,12.326667,3,22.86,8.32,16.48,0,1,0,0,Cancelled
97,1,0,0,69350.5,1,27.86,57.42,4,1.9,0,25.95,0,1,0,0,Current
104,0,0,2,43634.5,0,143.5,21.78,1,29.44,9.42,104.64,0,1,1,0,Cancelled
108,1,0,1,13109.1,0,62.87,62.606667,1,22.38,0,40.48,0,3,1,0,Cancelled
109,0,0,1,92647.5,0,32.13,56.046667,4,16.04,5.74,10.34,0,1,1,0,Cancelled
110,1,0,2,21021.6,1,14.95,62.753333,3,1,0,11.19,0,1,1,0,Current
111,0,0,0,74460.7,1,206.46,55.34,2,25.53,0.99,179.93,0,1,0,0,Cancelled
114,1,0,2,28787.4,0,86.06,41.666667,2,27.97,0,58.09,0,3,1,0,Current
117,0,1,1,13091.6,0,43.06,59.126667,2,22.79,0,20.26,0,1,1,1,Current
120,1,1,2,62061.8,1,82.08,45.92,2,29.86,0,52.22,0,3,0,0,Current
121,1,1,1,20550.9,1,85.64,22.12,3,27.72,0.86,57.06,0,1,1,0,Cancelled
124,0,1,2,1765.41,0,47.99,18.766667,4,3.04,0,44.95,0,1,0,0,Current
127,1,0,2,19131.1,0,57.07,56.186667,2,22.15,0,34.91,0,3,1,0,Current
130,1,0,2,83073.7,0,3.2,39.553333,4,0,0,3.2,0,1,1,0,Current
133,0,1,2,42750.3,1,134.97,50.493333,1,20.59,1.97,112.4,0,3,1,1,Current
135,1,0,2,2842.55,0,0.79,45.92,2,0,0,0.79,0,3,1,1,Current
136,0,1,2,22358.1,0,29.25,52.626667,1,15.54,1.52,12.19,0,1,1,0,Current
138,0,1,0,47870.8,1,13.82,27.26,2,2,1.17,12.48,0,1,0,0,Current
139,1,0,2,6440.46,1,49.86,52.646667,1,22.66,0,27.2,0,2,1,0,Current
140,1,0,0,7325.5,0,190.06,36.92,2,28.52,0,161.54,0,1,0,1,Cancelled
142,0,1,2,28766.9,0,64.2,46.84,1,6.11,0,58.08,0,1,1,0,Current
148,0,1,2,91272.2,1,40,25.033333,3,26.99,0,13.01,0,1,0,0,Current
154,0,0,0,65000,1,137,45.653333,4,11.63,9.7,115.66,1,3,0,1,Cancelled
158,0,1,2,1406.05,1,26.72,19.306667,1,11.55,0,15.17,0,1,1,0,Current
160,1,0,0,73228.3,0,50.58,62,4,22.47,0,28.11,0,3,1,0,Current
161,1,0,2,76231.9,0,152.76,63.806667,2,2.01,0,150.75,0,3,0,0,Cancelled
166,0,1,1,64792.3,0,51.41,52.146667,3,13.05,1.51,36.84,0,2,0,0,Cancelled
169,1,0,0,93322.1,1,38.72,40.313333,1,29.92,0,8.79,0,2,1,1,Cancelled
174,0,1,1,63437.3,0,14.98,63.653333,4,0.68,3.35,10.94,0,1,1,1,Cancelled
178,0,1,2,49910.7,1,51.14,51.52,3,27.42,0,23.72,0,1,1,0,Current
180,0,1,0,76161.4,1,37.55,44.573333,4,11.96,0,25.58,0,1,0,0,Cancelled
181,1,1,2,55860,1,26.37,14.573333,3,16.01,0,10.35,0,1,0,1,Current
182,1,0,1,12686,0,103.88,64.8,2,23.23,0,80.64,0,3,1,0,Cancelled
190,0,1,2,57360.8,1,67.61,53.253333,1,10.36,0,57.25,0,1,0,0,Current
191,0,1,0,92414.7,1,40.06,45.513333,4,29.43,0,10.62,0,1,0,0,Cancelled
192,0,1,1,60102.7,0,72.29,42.14,3,9.84,0,62.44,1,2,0,0,Cancelled
194,1,1,2,17888.7,0,361.88,55,1,29.41,0,332.46,0,1,1,0,Current
195,1,0,1,12526.3,0,40.59,53.553333,2,11.72,0,28.86,0,1,0,1,Cancelled
198,1,0,2,14578.8,1,107.02,60.933333,1,11.91,0,95.1,0,3,1,0,Current
201,0,1,0,78572.2,1,51.09,42.346667,4,21.81,0,29.28,1,1,0,0,Current
203,1,1,2,48238.8,0,191.32,34.706667,4,23.28,0,168.03,0,1,0,0,Current
205,1,1,0,28770.9,0,49.6,12.34,4,27.99,5.32,16.27,0,2,0,0,Cancelled
206,1,1,2,87578.2,1,22.44,53.366667,1,0.29,0,22.15,0,1,1,0,Current
207,1,1,2,86695.4,0,58.03,13.906667,2,25.94,0,32.09,0,1,0,0,Current
209,1,0,2,76791.2,0,43.71,61,4,20.71,0,23,0,1,1,1,Current
213,1,2,0,30763.8,1,57.17,14.193333,4,21.32,0,35.85,0,1,1,0,Cancelled
214,1,1,2,3193.6,0,118.82,54.046667,3,4.19,0,114.62,1,2,1,0,Current
215,0,1,1,69680.9,0,39.8,15.846667,2,7.67,0,32.12,0,1,0,1,Current
218,1,1,0,83287,0,119.82,45.486667,3,29.64,0,90.18,4,3,0,1,Current
219,0,0,0,2056.06,1,58.8,18.94,2,24.07,6.98,27.75,0,3,1,0,Cancelled
220,1,1,2,7776.6,0,94.2,35.706667,4,25.87,0,68.33,0,1,0,0,Current
221,0,1,1,2067.82,0,85.9,47.853333,4,15.25,0,70.65,0,1,1,1,Current
222,0,0,0,66666,0,20.74,52,1,4.58,7.66,8.49,0,2,1,0,Cancelled
224,1,1,2,69343.3,0,21.91,42.166667,2,6.36,0,15.54,0,1,0,0,Current
225,1,1,0,77000,0,24.46,55,4,0.57,0,23.89,2,3,1,0,Current
228,1,1,0,14932.5,0,11.42,52,1,4.91,0,6.5,0,1,1,1,Current
229,1,0,0,27498.1,0,12.08,42,4,2.2,0,9.88,0,1,1,1,Current
231,1,1,2,21419.9,0,129.51,59.833333,1,26.39,0,103.12,0,1,0,0,Current
232,1,1,2,30665.2,1,77.44,22.88,3,5.83,8.32,63.28,0,3,0,0,Current
233,1,1,1,66000,1,37.04,63.353333,2,6.08,0,30.95,0,3,0,1,Current
234,1,1,2,50561.3,0,129.91,52,2,16.6,0,113.31,1,2,1,0,Current
236,1,0,2,23464,1,64.14,70,3,22.43,0,41.71,0,1,1,1,Current
237,1,1,2,194.57,0,67.21,42,4,28.26,0,38.95,0,1,0,0,Current
238,1,1,1,98680.4,1,26.44,55,4,17.58,0,8.85,0,2,0,1,Current
239,0,1,1,65619.7,1,158.22,46,3,13.56,0,144.66,0,1,1,0,Current
240,1,1,1,95620.3,1,104.53,52,2,10.91,0,93.61,0,1,1,0,Current
241,1,0,0,85275,0,174.09,47,2,22.48,0,151.61,0,3,0,1,Current
242,1,1,1,66921.4,1,24.67,43,3,15.7,0,8.97,0,1,0,1,Current
243,1,1,1,98453.6,1,25.38,46,3,13.72,0,11.65,0,3,0,0,Current
244,1,1,2,94026.8,1,35.63,27.746667,3,25,0,10.62,0,1,0,1,Current
246,1,0,2,57420,1,277.72,61,2,25.18,0,252.53,1,3,1,0,Current
247,0,1,0,77000,0,34.35,44,4,3.93,3.73,26.69,1,2,0,0,Current
249,0,1,2,47639.1,0,57.11,48,4,17.48,0,39.62,0,1,1,1,Current
250,1,1,2,63234.5,1,1.16,52.36,3,0,0,1.16,0,2,0,1,Current
254,1,1,2,18296.4,1,10.47,42.626667,3,0.08,0,10.39,0,1,0,0,Current
255,1,0,0,39461,0,126.68,22.226667,4,22.87,0.28,103.52,1,1,0,0,Current
257,1,0,1,68000,0,86.12,60,3,22.82,0,63.29,0,3,0,0,Current
260,1,1,2,52957,1,151.32,39.746667,2,25.79,0,125.52,2,2,0,0,Current
261,1,0,2,86747.1,0,57.4,64.853333,3,20.15,0,37.24,0,3,1,0,Current
263,1,1,1,87404.6,0,160.84,63.186667,3,21.63,0,139.2,0,3,1,0,Current
264,0,0,2,20919,0,164.54,27.886667,2,6.26,4.92,153.36,0,1,0,1,Current
265,1,1,2,85394,1,35.69,20.16,4,19.28,2.02,14.38,1,3,1,1,Current
266,1,0,0,2121.36,0,38.8,39.786667,3,2.02,0,36.78,1,1,0,0,Cancelled
267,1,1,2,63566.1,1,73.03,56.3,2,7.94,0,65.09,0,2,1,1,Current
270,1,0,0,89813.6,0,166.18,12.846667,4,14.94,1.96,149.26,0,1,0,1,Current
271,1,1,2,25738.4,0,48.67,50.08,1,19.88,9.57,19.2,0,2,1,0,Current
272,1,1,2,82644.2,1,41.85,33.493333,4,21.97,0,19.88,0,1,0,1,Current
273,1,0,1,27783.6,0,29.58,14.04,3,4.97,6.53,18.07,0,1,0,0,Cancelled
276,1,1,2,60485.5,0,40.41,41.666667,1,11.7,0,28.7,0,3,1,1,Current
279,1,1,2,809.43,1,2.89,31.913333,1,0,0,2.89,0,2,0,1,Current
280,0,0,1,76529.8,0,43.89,58.28,1,18.46,5.36,20.05,0,1,1,0,Cancelled
281,1,1,2,34577.7,0,145.75,63.253333,2,29.18,0,116.57,3,2,1,0,Current
283,1,1,0,80000,0,73.02,48,3,27.56,0,45.46,0,3,1,0,Current
284,1,0,2,19008.4,1,147.74,52.166667,4,10.54,0,137.19,0,1,0,0,Current
285,1,1,0,98056.3,0,150.67,55.966667,3,23.7,0,126.96,0,3,0,0,Current
286,0,1,0,73400,1,2.21,64.226667,4,0,0,2.21,0,2,1,0,Cancelled
288,0,1,0,78894.2,0,46.65,28,2,2,1.41,43.23,0,2,1,1,Current
289,0,0,1,16432.1,1,109.78,20.92,1,20.41,8.89,80.47,0,2,1,1,Cancelled
290,0,1,0,62797.9,0,68.09,54.446667,1,8.32,4.28,55.48,0,2,1,1,Cancelled
291,0,0,1,71329.9,1,63.75,42.233333,3,14.27,3.55,45.92,0,1,1,0,Cancelled
295,1,0,0,20913.6,0,95.93,53.013333,4,22.99,7.16,65.77,0,1,0,0,Cancelled
298,1,0,1,540.4,1,20.1,39.213333,4,12.34,0,7.75,0,3,1,1,Cancelled
302,0,1,2,67339.8,0,81.72,17.006667,2,27.83,5.19,48.69,0,1,0,1,Current
304,0,1,1,75799.9,0,94.06,46.38,3,22.24,7.02,64.8,0,1,0,1,Cancelled
305,1,0,2,15688.5,0,22.42,53.06,4,14.39,0,8.03,0,1,1,0,Cancelled
306,1,0,0,43382.3,0,138.37,16.073333,2,29.67,8.76,99.94,0,2,0,0,Cancelled
308,1,0,0,5185.31,0,52.9,62.053333,2,16.39,5.99,30.51,0,1,0,1,Cancelled
309,1,0,0,41000,0,134.45,16.06,4,26.01,0,108.44,0,1,1,0,Cancelled
310,1,0,0,32098,0,106.53,22.433333,2,22.96,8.28,75.27,0,2,1,1,Cancelled
312,1,1,2,80087.7,0,31.56,41.92,4,8.74,0,22.82,0,1,0,0,Current
313,1,1,2,59691.3,0,278.65,38.04,2,21.94,0,256.7,0,1,1,0,Current
315,1,0,2,11251.1,1,141.91,61,2,28.42,0,113.48,0,1,0,0,Current
317,0,1,0,70908.7,0,55.47,49.62,4,7.7,4.55,43.2,0,1,0,0,Cancelled
318,0,0,0,94928.3,0,93.78,40.18,4,14.42,5.61,73.74,0,2,0,0,Cancelled
320,1,1,2,50622.3,0,112.72,40.46,2,20.45,2.07,90.19,0,3,0,0,Current
322,0,1,0,78000,1,39.32,52.266667,3,16.2,4.27,18.84,0,1,0,1,Cancelled
326,0,1,0,100020,1,92.37,52.266667,4,29.55,0,62.81,0,2,1,0,Cancelled
329,1,1,1,56722.8,0,74.77,60.593333,2,17.37,6.21,51.17,0,1,0,0,Current
331,0,1,1,80000,0,3.22,53.213333,3,0,0,3.22,0,1,1,1,Cancelled
332,1,0,2,3416.62,1,123.7,22.76,4,18.97,0,104.73,0,1,1,0,Current
333,1,1,0,73400,1,10.39,55.633333,2,0.17,0,10.22,0,3,1,0,Current
334,0,1,0,120000,1,40.9,53.213333,4,15.27,0,25.62,0,1,0,0,Cancelled
335,1,1,2,8032.16,0,88.77,45.666667,2,29.68,0,59.08,0,1,0,0,Current
336,1,0,1,93454.3,1,44.13,48.533333,4,18.94,0,25.18,0,3,0,0,Current
337,0,1,0,5745,1,44.11,15.38,1,26.4,0,17.71,0,1,0,0,Cancelled
338,1,0,0,83287,0,215.96,77,4,0.41,7.35,208.19,0,3,1,0,Current
339,1,0,0,92564.1,1,74.86,49.133333,3,23.17,0,51.68,0,3,0,0,Current
341,0,0,0,86448.2,1,90.25,38.133333,2,4.91,3.14,82.19,0,1,1,1,Cancelled
343,1,1,2,48322.5,1,50.29,49.333333,1,6.69,0,43.6,0,1,0,0,Current
346,1,1,2,81913.8,1,53.03,49.66,1,6.7,0,46.33,0,1,0,0,Current
349,1,0,0,919.93,0,120.71,38.26,3,27.28,0,93.42,0,2,1,0,Cancelled
350,1,1,2,69486.8,0,17.11,30.946667,1,7.72,0,9.39,1,1,1,0,Current
351,1,1,2,24482.8,0,2,33.533333,4,0,0,2,0,2,1,1,Current
353,1,1,0,14573.6,0,263.58,64.606667,4,26.61,0,236.97,0,1,1,0,Current
354,1,1,2,92103.8,0,14.86,52.153333,3,7.42,0,7.43,0,1,1,0,Current
355,1,0,2,8392.14,1,87.16,36.68,3,25.03,7.33,54.8,0,2,1,1,Current
356,1,0,0,17138.2,0,104.69,63.786667,3,20.01,0,84.67,0,1,0,1,Cancelled
358,1,1,2,47010.1,0,167.31,57.406667,1,2.54,0,164.76,0,1,1,1,Current
360,1,0,1,67239.4,0,66.7,44.433333,2,12.89,0,53.81,0,3,0,1,Current
361,0,1,1,69406.7,1,142.23,30,2,6.9,7.21,128.1,1,1,0,0,Current
363,1,1,2,83259.3,0,4.46,50.88,4,0,0,4.46,0,1,1,0,Current
365,0,0,2,60095.2,1,117.85,23.313333,2,1.71,0,116.14,0,3,1,0,Current
370,1,1,2,2185.6,0,28.07,52.513333,1,7.12,0,20.95,1,2,1,0,Current
372,0,1,1,76511.3,0,42.52,62.08,2,21.68,3.46,17.37,0,1,0,0,Cancelled
374,1,1,1,6946.07,0,34.61,23,2,25.77,0,8.84,0,2,0,0,Cancelled
375,1,1,2,11234.7,1,113.42,49.046667,3,0.69,0,112.72,0,1,1,0,Current
377,1,1,2,36660.9,1,3.36,39.96,1,0,0,3.36,1,2,1,1,Cancelled
379,1,1,2,68462.8,0,90.84,34.4,2,24.39,5.93,60.51,0,1,0,0,Current
382,1,1,2,72841.3,0,82.53,47.02,1,10.36,0,72.16,0,1,1,0,Current
383,1,1,2,63670.8,1,78.87,46.146667,2,27.39,0,51.47,0,3,0,0,Current
384,0,0,0,83287,0,70.7,45.486667,2,29.73,5.24,35.73,0,1,1,0,Cancelled
385,1,0,1,66000,1,120.53,45.486667,1,20.44,0,100.08,0,3,1,0,Current
386,0,1,0,12387.6,0,93.85,56.173333,2,7,0,65.93,0,3,0,0,Current
388,1,1,1,82931.3,0,137.25,64.64,2,19.24,0,118,0,3,0,0,Cancelled
389,1,1,2,57483.9,0,44.3,44.026667,2,17.01,0,27.29,0,2,1,0,Current
391,1,0,2,21274,0,43.31,45.526667,2,10.87,0,32.43,0,3,0,0,Cancelled
392,1,1,2,28267,0,214.41,30.093333,2,21.87,0,192.53,0,1,0,0,Current
394,1,1,2,36725.1,0,94.88,55.793333,2,8.65,9.22,77,0,2,1,0,Current
398,0,0,1,94188.3,0,41.51,57.546667,2,20.86,0.86,19.78,0,1,1,0,Cancelled
401,1,1,2,91861,1,22.06,41.98,3,15.32,0,6.74,0,1,1,0,Current
404,1,0,1,12374.9,1,123.59,33.493333,3,17.49,0,106.1,0,3,0,0,Cancelled
405,1,1,2,69133.9,1,46.32,26.833333,2,8.58,0,37.73,0,2,0,0,Current
407,1,1,2,84948,1,23.73,29.446667,3,11.14,0,12.58,0,2,0,1,Current
408,1,1,2,30998.8,0,52.91,40.96,2,2.4,0,50.5,0,3,1,0,Cancelled
410,0,0,0,15924.2,0,1.46,14.46,2,0,0,1.46,0,2,0,0,Current
414,0,1,2,21416.5,0,27.61,35.653333,1,9.9,9.17,8.53,0,1,0,1,Current
418,0,1,2,78554.2,0,35.88,16.7,3,5.59,7.26,23.03,0,3,1,0,Current
419,0,0,1,3960.5,0,96.13,14.693333,2,29.78,0,66.35,0,3,0,0,Cancelled
421,0,1,0,60101.1,1,157.96,63.766667,4,27.7,6.11,124.14,2,2,0,0,Cancelled
422,1,1,2,38215.9,0,0.97,30.886667,2,0,0,0.97,0,3,1,0,Current
423,1,1,1,13829.4,0,176.61,22,1,28,0,160.42,0,1,0,0,Cancelled
424,1,1,2,49745.3,0,27.28,47.966667,3,2.84,0,24.44,0,2,1,1,Current
426,1,1,2,88427,0,69.97,13.86,3,22.46,4.16,43.34,0,1,1,0,Current
427,1,1,2,98003.7,1,84.42,26.273333,1,1.03,0,83.39,0,1,0,1,Current
428,0,0,0,89142.7,0,16.91,33,2,3.76,8.13,5.01,0,1,1,1,Current
429,1,0,0,74530.8,0,127.89,63.086667,2,20.89,0.49,106.5,0,3,0,1,Current
431,1,0,0,35000,0,265.78,23,3,30,0,262.91,0,1,1,0,Cancelled
436,1,1,2,76289.2,0,104.63,48.206667,2,22.2,0,82.43,0,1,1,1,Current
438,0,1,1,66931.9,0,17.46,63.933333,4,11.72,0.39,5.35,0,1,1,0,Cancelled
439,1,2,1,9309.57,1,108.3,24,2,40,0,99.73,0,1,0,0,Cancelled
440,1,1,1,14085.5,0,48.08,23,1,26,0,26.78,0,3,0,1,Cancelled
441,1,0,0,32962.6,0,168.28,19,2,27,0,154.77,0,1,1,1,Cancelled
442,1,0,0,40000,0,65.79,20,2,26,0,61.44,0,1,1,0,Current
443,1,0,2,33330,0,41.78,21,3,33,0,35.73,0,3,1,0,Current
444,1,0,1,32098,0,23.52,22,1,33,0,9.51,0,3,1,1,Cancelled
445,1,0,2,30090,0,62.95,24,1,37,2.22,38.18,0,1,0,0,Cancelled
446,1,0,1,40120,0,134.75,24,4,28.45,0,106.3,0,1,1,0,Cancelled
450,1,1,2,90271.6,0,110.4,44.926667,4,13.96,0,96.43,0,1,0,0,Cancelled
455,1,1,2,64816.6,1,27.87,31.126667,2,21,0,6.87,0,1,1,0,Current
456,1,1,2,98217.1,0,42.74,44.98,1,29.49,0,13.24,0,1,0,0,Current
458,1,0,1,2929.13,0,102.23,53.506667,1,14,0,88.23,0,2,1,1,Cancelled
460,1,1,2,41876.6,1,139.44,44.093333,3,6.78,0,132.65,0,1,0,0,Current
461,0,1,0,96223.4,1,18.18,64.76,1,11.81,0.63,5.73,0,1,0,0,Cancelled
462,1,0,0,15989.3,0,29.17,61.693333,4,3.67,0,25.49,1,1,1,1,Cancelled
463,0,1,0,69168.4,1,234.91,62.426667,2,14.16,6.01,214.73,0,1,1,0,Cancelled
464,0,1,1,92148.5,1,113.68,33,2,3,0,100.9,0,1,1,1,Cancelled
465,0,1,0,96681,1,73.76,19.76,2,7,7.66,40.92,0,1,1,0,Current
466,0,0,0,62705.9,1,33.44,32,2,8,0,6.81,0,1,0,1,Current
467,0,0,0,80221.2,0,50.48,29.026667,2,9,0,49.56,0,3,0,0,Current
468,0,0,0,84479.2,0,56.23,30,2,7,0,43.01,0,1,0,0,Current
469,1,1,2,64977.4,0,45.77,38.193333,2,28.11,0,17.66,0,1,0,0,Current
470,1,1,0,77994,0,102.02,50.553333,1,12.4,0,89.62,0,2,0,0,Current
471,0,1,2,90103.7,0,66.45,34.946667,3,12.23,8.87,45.34,0,1,1,1,Current
472,1,1,0,59008.4,1,31.59,30.18,1,12.86,0,18.73,0,1,1,0,Cancelled
473,0,1,2,5265.35,0,31.1,52.873333,3,2.33,5.3,23.46,0,3,1,1,Current
474,0,0,1,84978.1,0,88.79,21.64,1,5.03,7.68,76.07,0,2,0,1,Cancelled
475,1,1,2,36647.9,0,107.38,49.986667,3,21.41,0,85.96,0,1,1,1,Cancelled
476,1,0,0,64319.2,0,40.16,41.226667,1,3.01,0,37.15,0,2,1,1,Cancelled
477,1,0,1,73338,0,29.93,48.246667,3,20.92,0,9.01,0,3,1,1,Current
478,1,0,0,433.74,0,44.22,60.746667,1,3.3,0,40.91,0,1,0,0,Cancelled
479,1,1,2,16962.2,0,27.57,45.36,2,18.6,0,8.96,0,1,1,0,Current
481,0,1,2,10708.3,0,142.95,26.026667,3,20.83,4.85,117.26,0,2,1,1,Current
484,1,1,0,2031.61,0,109.04,20.3,2,21.64,0,87.4,0,1,1,0,Cancelled
488,1,0,2,16938.5,0,22.11,55,2,13.35,0,8.76,0,2,0,0,Current
491,1,1,0,55221,0,15.69,42,3,0.49,0,15.2,0,1,0,0,Current
492,1,1,1,8073.11,0,89.05,43,2,28.7,0,60.35,0,3,0,0,Current
493,0,1,1,95448.6,1,29.46,53.68,3,24.24,0,5.21,0,2,1,0,Current
494,0,0,1,24141.5,1,125.87,17.006667,4,28.82,0,97.05,0,1,0,0,Cancelled
495,0,0,2,63152.6,1,70.01,63.173333,1,29.93,0,40.07,0,1,1,1,Current
497,0,0,2,72084.7,0,38.13,55.64,1,29.11,0,9.02,0,1,1,1,Current
498,1,0,0,42760.5,0,53.7,46,3,13.47,0,40.23,0,1,1,0,Current
499,1,0,1,49072,0,34.25,47,2,23.5,0,10.74,0,3,1,1,Current
500,1,1,0,27371.8,1,142.7,48,4,16.14,0,126.55,0,1,0,0,Current
504,0,1,1,71472.9,0,130.22,41.913333,3,16.02,0,114.2,0,2,1,0,Cancelled
505,1,1,0,95405.7,0,13.96,42,4,7.74,0,6.21,0,1,1,0,Current
506,1,0,0,95786.8,1,108.79,43,4,21.33,0,87.46,0,1,1,0,Current
508,0,0,0,90321.6,0,12.39,30,2,0.87,0,11.52,0,3,0,1,Current
509,0,0,0,90478.6,0,154.49,54.553333,2,18.02,0,136.47,0,1,0,0,Cancelled
510,1,1,2,56187,0,21.83,42,2,8.09,0,13.74,0,2,1,0,Current
513,1,0,1,37000,0,229.64,24.393333,2,23.56,0,206.08,0,1,1,1,Cancelled
518,0,1,2,29616,0,75.29,49.426667,1,29.78,0,45.5,0,2,0,0,Current
520,0,1,0,19732.8,0,47.25,50.673333,2,24.81,0,22.44,0,1,0,0,Current
523,0,0,2,96.33,0,59.01,56.473333,4,26.13,0,32.88,1,1,1,0,Current
526,1,1,2,52004.8,0,28.14,25.14,1,5.03,0,23.11,0,2,1,1,Current
529,0,1,2,53010.8,0,58.87,18.84,1,12.45,0,46.42,4,1,0,0,Current
530,0,1,0,75004.5,0,58.72,64.8,2,26.52,0,32.19,0,1,1,1,Current
533,0,1,0,19749.3,0,34.17,60.366667,1,20.22,0,13.94,0,1,1,0,Current
534,0,0,1,57626.9,1,48.35,43.906667,3,9.38,0,38.96,0,1,1,0,Current
535,0,1,2,20078,0,15.98,32.846667,4,9.65,0,6.33,0,1,1,1,Current
536,1,1,2,47902,0,72.31,26.033333,4,17.44,4.94,49.92,1,3,0,0,Current
541,0,1,1,7545.96,1,200.75,16.753333,3,22.39,0,178.36,0,1,1,0,Cancelled
547,1,0,0,78851.3,0,29.04,48.373333,4,0.37,0,28.66,0,1,0,0,Cancelled
548,1,0,1,17540.7,1,36.2,62.786667,1,22.17,0.57,13.45,0,3,1,0,Cancelled
549,1,1,0,83891.9,1,74.4,61.02,4,28.92,0,45.47,0,2,1,0,Cancelled
